Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
20-05-2020,10:38,PHARMA MAR SA,ES0169501030,MAD,263,EUR,5.4300,EUR,-1428.09,EUR,-1428.09,,EUR,-0.71,EUR,-1428.80,9fff420a-2c84-4f38-8af5-2d2e1e1463c5
20-05-2020,10:36,PHARMA MAR SA,ES0169501030,MAD,237,EUR,5.4300,EUR,-1286.91,EUR,-1286.91,,EUR,-2.64,EUR,-1289.55,9fff420a-2c84-4f38-8af5-2d2e1e1463c5
20-05-2020,10:17,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,300,EUR,6.8750,EUR,-2062.50,EUR,-2062.50,,EUR,-3.03,EUR,-2065.53,dc9b9e7a-a756-4c13-8121-e8c363c6255c
18-05-2020,13:54,AUDAX RENOVABLES SA,ES0136463017,MAD,-1000,EUR,1.8500,EUR,1850.00,EUR,1850.00,,EUR,-2.93,EUR,1847.07,7b9ad6fe-94c7-431e-ad20-a81221bb7b6d
15-05-2020,09:42,PHARMA MAR SA,ES0169501030,MAD,500,EUR,5.2500,EUR,-2625.00,EUR,-2625.00,,EUR,-3.31,EUR,-2628.31,edd19fbe-64fe-453d-964d-1c769e5db8d6
14-05-2020,17:23,AUDAX RENOVABLES SA,ES0136463017,MAD,-1000,EUR,1.8700,EUR,1870.00,EUR,1870.00,,EUR,-2.94,EUR,1867.06,0871155d-02b6-4f87-97f8-0f4536c9d042
14-05-2020,13:46,AUDAX RENOVABLES SA,ES0136463017,MAD,-525,EUR,1.7800,EUR,934.50,EUR,934.50,,EUR,-0.47,EUR,934.03,2c9ca14b-2c00-469c-9b57-ae59558bd468
14-05-2020,13:46,AUDAX RENOVABLES SA,ES0136463017,MAD,-475,EUR,1.7880,EUR,849.30,EUR,849.30,,EUR,-2.42,EUR,846.88,2c9ca14b-2c00-469c-9b57-ae59558bd468
14-05-2020,12:12,TEC.REUNIDAS,ES0178165017,MAD,-300,EUR,12.6400,EUR,3792.00,EUR,3792.00,,EUR,-3.90,EUR,3788.10,76868fd5-9545-4c0d-aef0-73d912d3bb61
14-05-2020,09:08,AUDAX RENOVABLES SA,ES0136463017,MAD,1000,EUR,1.8700,EUR,-1870.00,EUR,-1870.00,,EUR,-2.94,EUR,-1872.94,e4edf16c-c942-4759-bfc8-073c261c2307
